"Year","Month","Day","End Year","End Month","End Day","Headline","Headline Arabic","Text","Text Arabic","Agreement","Stage","Event"
2010,7,1,2010,7,1,"Continuation of violence in Sadaa and surrounding governorates","استمرار العنف في صعدة والمحافظات المحيطة بها","July 2010: Clashes occur between the Houthis and tribes in Sufyan which continue into November.","يوليو 2010: تقع اشتباكات بين الحوثيين والقبائل في حرف سفيان تستمر حتى شهر نوفمبر.",,,"conflict"
2011,1,27,2011,1,27,"Protests break out against President Saleh (Yemeni Arab Spring)","الاحتجاجات تندلع ضد الرئيس صالح (الربيع العربي اليمني)","January-February: Protests break out against the long-term rule of President Saleh. Protestors include unemployed youth, opposition parties (particularly Islah) as well as regional actors such as the Houthis and the Southern Movement. The 27th marked the largest rally against Saleh, with over 20,000 protestors.","فبراير: الاحتجاجات تندلع ضد الحكم الطويل للرئيس صالح. ومن بين المتظاهرين الشباب العاطل عن العمل وأحزاب المعارضة (ولا سيما الإصلاح) وكذلك الجهات الفاعلة المحلية مثل الحوثيين والحراك الجنوبي. 27 يناير يعتبر اكبر مظاهرة في بداية الربيع العربي اليمني. ",,,"conflict"
2011,1,29,2011,1,29,"Yemeni women begin to play a leading and dynamic role in protests","تبدأ المرأة اليمنية في لعب دور قيادي وديناميكي في الاحتجاجات","Women activists begin their calls for inclusion, setting a marriage age, ending maternal mortality and illiteracy. Women were beaten by Islah members for joining their fellow men.  ","بدأ الناشطات دعواتهن للإدماج وتحديد سن الزواج وإنهاء وفيات الأمهات والأمية. تعرض النساء للضرب على أيدي عناصر من حزب الإصلاح بسبب انضمامهم إلى إخوانهم الرجال",,,"conflict"
2011,2,16,2011,2,16,"Protests in Aden violently supressed by security forces ","الاحتجاجات في عدن قمعت بعنف من قبل قوات الأمن","Southerners joined their fellow northerners in the Arab spring goals where abondoning secessions seemed possible. Violence continued until February 25th. ","انضم الجنوبيون إلى الشماليين في أهداف الربيع العربي حيث فكرة التخلي عن الانفصال اصبحت ممكنة. استمر العنف حتى 25 فبراير.",,,"political"
2011,3,18,2011,3,18,"Massacre of protestors in Sanaa (Friday of Dignity)","مذبحة المتظاهرين في صنعاء (جمعة الكرامة","Snipers open fire on protestors in Sanaa killing 50. The incident sparks mass disapproval of government action and former loyalists including government officials begin to defect. Islah party members, including Hamid al-Ahmar and Ali Mohsen al-Ahmar (not related) mobilise loyal fighters from the Hashid tribal federation and the First Armored Division and deploy them to Sanaa under the auspices of protecting protestors.","قناصين اطلقوا النار على المتظاهرين في صنعاء وقتل 50منهم. هذا الحادث اثار استياء جماهيري من عمال الحكومة وموالين سابقين بما في ذلك مسؤولون حكوميون بدأوا ينشقون. قام أعضاء حزب الإصلاح، بمن فيهم حميد الأحمر وعلي محسن الأحمر (ليس هناك صلة قرابة بينهم) بتعبئة المقاتلين المخلصين من قبائل حاشد والفرقة الأولى مدرع ونشرهم في صنعاء تحت ذريعة حماية المتظاهرين.",,,"political"
2011,4,21,2011,4,21,"GCC-led Initative","مبادرة دول مجلس التعاون الخليجي","In an attempt to stabilize the situation, the Gulf Cooperation Council (GCC) intervenes with support from United Nation (UN) Secretary-Generals Special Envoy to Yemen, Jamal Benomar, to mediate a solution to the crisis. The first iteration of the GCC Initiative is announced on April 23, but not signed until November 23, 2011. However, President Saleh refused to agree to the proposal. Meanwhile, the city of Sanaa is divided between pro-Saleh and opposition forces that have set up checkpoints. https://www.peaceagreements.org/masterdocument/1401","في محاولة لتهدئة الوضع تدخل مجلس التعاون الخليجي بدعم من المبعوث الخاص للأمين العام للأمم المتحدة إلى اليمن جمال بنعمر للتوسط لحل الأزمة وتم الإعلان عن أول مسودة لمبادرة مجلس التعاون الخليجي في 23 أبريلhttps://www.peaceagreements.org/masterdocument/1401_x000D_ ومع ذلك، رفض الرئيس صالح الموافقة على الاقتراح وفي الوقت نفسه بدأت مدينة صنعاء تنقسم بين القوات الموالية لصالح والقوى المعارضة التي أقامت نقاط تفتيش. https://www.peaceagreements.org/masterdocument/1401_x000D_",,,"conflict"
2011,5,27,2011,5,27,"AQAP captures Zinjibar","تنظيم القاعدة في شبه الجزيرة العربية يستولي على زنجبار","The re-call of troops to Sanaa creates a security vacuum elsewhere in Yemen. Al-Qaeda in the Arabian Peninsula (AQAP) takes control of the town of Zinjibar in Abyan governorate.","استدعاء القوات العسكرية إلى صنعاء يخلق فراغًا أمنيًا في أماكن أخرى في اليمن وتنظيم القاعدة في شبه الجزيرة العربية يسيطر على زنجبار في محافظة أبين.",,,"conflict"
2011,5,23,2011,5,23,"Battle of Sana'a, 2011","Saleh's Republican Guard and Internal Security forces clash with Hashid tribe (Al-Ahmar tribe) and the First Armored Brigade (Ali Mohsen Al-Ahmar's Brigade@ in Sana'a ",,"اشتبكت قوات الحرس الجمهوري والأمن المركزي التابعة لصالح مع قبيلة حاشد (بيت الاحمر) واللواء اول مدرع (فرقة علي محسن الاحمر) في صنعاء",,,"conflict"
2011,5,28,2011,5,28,"Battle of Taiz, 2011","معركة تعز 2011 ","Security forces began to violently clear protest squares, which led to tribal and defectors to stand up against the crackdown. Continued until June 7th. ","بدأت قوات الأمن إزالة الساحات الاحتجاجية بعنف، و أدى إلى وقوف القبائل والمحتجين ضد القوات الحكومية. استمرت الاشتباكات ليوم 7 يونيو",,,"conflict"
2011,6,7,2011,6,7,"Attempted assassination of President Saleh","محاولة اغتيال الرئيس صالح","President Saleh is wounded in attempted assassination. Vice President Abd Rabbu Mansour Hadi takes over as acting President while Saleh receives medical treatment in Riyadh.","أصيب الرئيس صالح في محاولة اغتيال وتولى نائب الرئيس عبد ربه منصور هادي منصب القائم بأعمال الرئيس في حين يتلقى صالح العلاج في الرياض.",,,"conflict"
2011,9,12,2011,9,12,"Presidential Decree No. (24) FY 2011","قرار رئاسي رقم (24) لسنة 2011","Saleh hands over executive powers to VP HadiEnglish:  https://www.peaceagreements.org/masterdocument/1402","قرار جمهوري بتكليف نائب علي عبد الله صالح باستلام السلطة التنفيذية. باللغة الإنجليزية: https://www.peaceagreements.org/masterdocument/1402","national","Substantive-Partial",
2011,11,23,2011,11,23,"Signing of GCC Initiative in Riyadh","التوقيع على مبادرة مجلس التعاون الخليجي","Agreement on the Implementation Mechanism for the Transition Process in Yemen in Accordance with the Initiative of the Gulf Cooperation Council. President Saleh signs the Implementation Mechanism of the GCC Initiative transferring power to Vice President Hadi. One women representative from the GPC attended: Minister Amatalrazaq Ali Humad. https://www.peaceagreements.org/masterdocument/758","الرئيس صالح يوقع الآلية التنفيذية للمبادرة الخليجية لنقل السلطة إلى نائبه هادي. حضرة ممثلة واحدة من النساء من المؤتمر الشعبي العام: الوزيرة امة الرزاق علي حمد https://www.peaceagreements.org/masterdocument/758","national","Substantive-Partial",
2011,11,23,2011,11,23,"Agreement on the Implementation Mechanism for the Transition Process in Yemen in Accordance with the Initiative of the Gulf Cooperation Council (GCC Implementation Mechanism)","اتفاقية الآلية التنفيذية للعملية الانتقالية في اليمن وفقاً لمبادرة مجلس التعاون الخليجي","English: https://www.peaceagreements.org/masterdocument/758","باللغة الإنجليزية: https://www.peaceagreements.org/masterdocument/758_x000D_","local","Substantive-Partial",
2011,11,23,2011,11,23,"Agreement/Gulf Cooperation Council (GCC) Initiative","الاتفاقية / مبادرة مجلس التعاون الخليجي","English: https://www.peaceagreements.org/masterdocument/1401","باللغة الإنجليزية:_x000D_ https: //www.peaceagreements.org/masterdocument/1401_x000D_","national","Substantive-Partial",
2011,12,7,2011,12,7,"Decree No. (184) for the year 2011, to Form a Government of National Reconciliation","قرار رقم (184) لسنة 2011 بتشكيل حكومة المصالحة الوطنية","English:  https://www.peaceagreements.org/masterdocument/1399"," باللغة الإنجليزية:_x000D_https: //www.peaceagreements.org/masterdocument/1399_x000D_","national","Implementation",
2011,12,10,2011,12,10,"Tawaakol Karman receives Nobel Peace Prize ","توكل كرمان تستلم جائزة نوبل للسلام","Karman is the only Arab and youngest ever to win the peace prize. She received it for leading peaceful demonstrations for democracy and for a better future for women. ","كرمان هي العربية الوحيدة والأصغر سناً التي تفوز بجائزة السلام. تلقتها لقيادة المظاهرات السلمية من أجل الديمقراطية ومن أجل مستقبل أفضل للمرأة.",,,"political"
2012,2,25,2012,2,25,"Vice President Hadi is elected President","انتخاب نائب الرئيس هادي كرئيس","Vice President Hadi is elected as President with no competitors. Saleh remains head of the ruling GPC party.","انتخاب نائب الرئيس هادي كرئيس بدون منافسين ويبقى صالح رئيس حزب المؤتمر الشعبي العام الحاكم.",,,"political"
2012,2,1,2012,6,1,"Violence in Sadaa and surrounding governorates intensifies","تصاعد العنف في صعدة والمحافظات المحيطة بها","February-June: Violence between Houthi fighters and tribal militias intensifies in regions surrounding Sadaa governorate including Hajjah and Amran governorates.","فبراير إلى يونيو: تصاعد العنف بين المقاتلين الحوثيين والقبائل في المناطق المحيطة بمحافظة صعدة بما في ذلك محافظتي حجة وعمران.",,,"political"
2012,3,1,2012,3,1,"Hadi implements aspects of Security Sector Reform","هادي ينفذ جوانب من إصلاح قطاع الأمن","April: President Hadi fires  senior military officers appointed by former President Saleh.","أبريل: الرئيس هادي يقيل قادة عسكرية كبيرة عينهم الرئيس السابق صالح.",,,"political"
2012,6,12,2012,6,12,"Zinjibar re-captured from AQAP","استعادة زنجبار من القاعدة في شبه الجزيرة العربية","June: Yemeni army re-takes Zinjibar from AQAP with support from local militias known as Popular Committees.","يونيو: الجيش اليمني يستعيد زنجبار من القاعدة في شبه الجزيرة العربية بدعم من مليشيات محلية معروفة باللجان الشعبية.",,,"conflict"
2012,8,1,2012,8,1,"Republican Guard is targeted for SSR","تستهدف الإصلاحات الأمنية الحرس الجمهوري","President Hadi announces restructuring of the Republican Guard, an elite unit under the command of Saleh's son, Ahmed Ali Saleh.","الرئيس هادي يعلن إعادة هيكلة الحرس الجمهوري، وحدة عسكرية خاصة تحت قيادة نجل صالح، أحمد علي صالح.",,,"political"
2012,9,15,2012,9,15,"Houthis organise protests in Sanaa","ينظم الحوثيون احتجاجات في صنعاء","September: Houthis, increasingly known as Ansar Allah, organise protests in Sanaa against the US film 'Innocence of Muslims' consolidating their support in the city.","سبتمبر: ينظم الحوثيون، المعروفون بأنصار الله، احتجاجات في صنعاء ضد الفيلم الأمريكي ""براءة المسلمين"" الأمر الذي يوطد الدعم لهم في المدينة.",,,"political"
2013,3,18,2013,3,18,"National Dialogue Conference begins","يبدأ مؤتمر الحوار الوطني","The National Dialogue Conference (NDC) begins as part of the GCC Initiative gathering 565 delegates from across Yemen's political spectrum and establishing 9 working groups looking at the country's most pressing issues. Women representation as chairs, co chairs, and ministers reached 29%","يبدأ مؤتمر الحوار الوطني في إطار مبادرة مجلس التعاون الخليجي ويضم مؤتمر الحوار 565 مندوبا من مختلف الأطياف السياسية في اليمن وتنشأ 9 مجموعات عمل تبحث في القضايا الأكثر إلحاحا في البلاد. بلغت نسبة تمثيل النساء كرئساء اللجان، نائبات اللجان المشاركة، ومسؤولين حكوميين بنسبة 29 ٪.",,,"political"
2013,4,10,2013,4,10,"Hadi removes senior figures from strategic military commands","يقيل هادي شخصيات بارزة من قيادة وحدات عسكرية استراتيجية","Hadi removes Ahmed Saleh and Ali Mohsin al-Ahmar as commanders of the Republican Guard and First Armoured Division, respectively, 'promoting' them to diplomatic and advisory positions.","يقيل هادي أحمد صالح قائد الحرس الجمهوري وعلي محسن الأحمر قائد الفرقة الأولى مدرع ""ويرقيهم"" إلى مناصب دبلوماسية واستشارية.",,,"conflict"
2013,8,25,2013,8,25,"Southern representatives boycott NDC","القادة الجنوبيون يقاطعون مؤتمر الحوار الوطني","June-July: Southern Movement leader Ahmed bin Farid withdraws from NDC on April 25. Other Southern leaders temporarily withdraw in June and return in July after a fist-fight broke out in the NDC's Southern Issue Working Group. Final boycott at the end of August.","يونيو إلى يوليو: ينسحب زعيم الحركة الجنوبية أحمد بن فريد من مؤتمر الحوار الوطني في 25 أبريل. وقام قادة جنوبيون آخرون بالانسحاب مؤقتًا في يونيو وعادوا في يوليو بعد اشتباكات بالأيدي في مجموعة عمل القضية الجنوبية في مؤتمر الحوار الوطني. انسحاب كامل في اخر اغسطس",,,"political"
2013,9,1,2013,9,1,"NDC is extended for 6 months","تمديد مؤتمر الحوار الوطني لستة أشهر أخرى","NDC extended for 6 months.","يمدد مؤتمر الحوار الوطني لستة أشهر",,,"political"
2013,11,28,2013,11,28,"Important southern figures withdraw from NDC","تنسحب شخصيات جنوبية مهمة من مؤتمر الحوار الوطني","Southern representative, Muhammad Ali Ahmed, withdraws from NDC citing a 'dead end'.","ينسحب أحد ممثلي الجنوب محمد علي أحمد من مؤتمر الحوار الوطني مشيرا إلى وصول المؤتمر إلى طريق مسدود.",,,"conflict"
2013,12,20,2013,12,20,"Killing of Hamdrami Sheikh at checkpoint in Seyoun","مقتل شيخ حضرمي في نقطة امنية","Hadrami Shiekh, Said bin Hamad, killed by Yemeni armed forces at a checkpoint in Sayoun, Hadramawt. Hadramawt Tribal Confederation demand the responsibility for local security be handed over to local militias.","يقتل الشيخ الحضرمي سعيد بن حمد على يد القوات المسلحة اليمنية عند نقطة تفتيش في سيئون بحضرموت ويطالب حلف قبائل حضرموت بتسليم المسؤولية عن الأمن المحلي إلى مليشيات محلية.",,,"political"
2013,12,23,2013,12,23,"Agreement on a just solution issued by NDC Southern Working Group","اتفاق لحل عادل صادر عن مجموعة القضية الجنوبية في مؤتمر الحوار الوطني","December 23: NDC's Southern Working Group issues the Agreement on a Just Solution to the Southern Question, where the members, including a Houthi representative, agreed that Yemen would become a federal state. http://constitutionnet.org/sites/default/files/140118_agreement_on_the_southern_question_en_final.pdf","23 ديسمبر: يصدر فريق القضية الجنوبية في مؤتمر الحوار الوطني الحل العادل للقضية الجنوبية، حيث اتفق الأعضاء، بمن فيهم ممثل الحوثي، على أن تصبح اليمن دولة اتحادية. http://www.ndc.ye/ndcdoc/Southern_Question.pdf ",,,"political"
2014,1,6,2014,1,6,"Ceasefire between Dar al-Hadith and Houthis after 6 months of violence","وقف إطلاق النار بين دار الحديث والحوثيين بعد ستة أشهر من القتال","A ceasefire is mediated by the Hadi government, ending 6 months of fighting between Ansar Allah (the Houthis) and Salafist students at the Dar al-Hadith Madrassa in Dammaj. 300 students are evacuated and the Madrassa destroyed.","توسطت حكومة هادي لوقف إطلاق النار منهيةً ستة أشهر من القتال بين أنصار الله (الحوثيين) والطلاب السلفيين في دار الحديث في دماج وتم إجلاء 300 طالب وتدمير المدرسة.",,,"conflict"
2014,1,6,2014,1,6,"Ceasefire between Salafists and Houthis in Dammaj",,"https://www.peaceagreements.org/masterdocument/2004 ","https://www.peaceagreements.org/document/2655 ","local","Ceasefire",
